('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
('BNS: 96.143 P4_32_12          ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)'])
("BNS: 96.144 P4_32_121'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|0,0,0)'", "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", "(2x|1/2,1/2,1/4)'", "(2y|1/2,1/2,3/4)'", "(2z|0,0,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 96.145 P4_3'2_12'        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 96.146 P4_32_1'2'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', "(2x|1/2,1/2,1/4)'", "(2y|1/2,1/2,3/4)'", '(2z|0,0,1/2)', "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 96.147 P4_3'2_1'2        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", "(2x|1/2,1/2,1/4)'", "(2y|1/2,1/2,3/4)'", '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)'])
('BNS: 96.148 P_c4_32_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", "(2x|1/2,1/2,3/4)'", "(2y|1/2,1/2,1/4)'", "(2z|0,0,0)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,0)'"])
('BNS: 96.149 P_C4_32_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", "(2x|0,0,1/4)'", "(2y|0,0,3/4)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 96.150 P_I4_32_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,3/4)', '(4z-1|1/2,1/2,1/4)', '(2x|1/2,1/2,1/4)', '(2y|1/2,1/2,3/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", "(2x|0,0,3/4)'", "(2y|0,0,1/4)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 97.151 I422              ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
("BNS: 97.152 I4221'            ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 97.153 I4'22'            ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 97.154 I42'2'            ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 97.155 I4'2'2            ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
('BNS: 97.156 I_c422            ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
('BNS: 98.157 I4_122            ', ['Operators:', '(1|0,0,0)', '(4z|0,1/2,1/4)', '(4z-1|0,1/2,1/4)', '(2x|0,1/2,1/4)', '(2y|0,1/2,1/4)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
("BNS: 98.158 I4_1221'          ", ['Operators:', '(1|0,0,0)', '(4z|0,1/2,1/4)', '(4z-1|0,1/2,1/4)', '(2x|0,1/2,1/4)', '(2y|0,1/2,1/4)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,1/2,1/4)'", "(4z-1|0,1/2,1/4)'", "(2x|0,1/2,1/4)'", "(2y|0,1/2,1/4)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 98.159 I4_1'22'          ", ['Operators:', '(1|0,0,0)', "(4z|0,1/2,1/4)'", "(4z-1|0,1/2,1/4)'", '(2x|0,1/2,1/4)', '(2y|0,1/2,1/4)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 98.160 I4_12'2'          ", ['Operators:', '(1|0,0,0)', '(4z|0,1/2,1/4)', '(4z-1|0,1/2,1/4)', "(2x|0,1/2,1/4)'", "(2y|0,1/2,1/4)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 98.161 I4_1'2'2          ", ['Operators:', '(1|0,0,0)', "(4z|0,1/2,1/4)'", "(4z-1|0,1/2,1/4)'", "(2x|0,1/2,1/4)'", "(2y|0,1/2,1/4)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
('BNS: 98.162 I_c4_122          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,1/2,1/4)', '(4z-1|0,1/2,1/4)', '(2x|0,1/2,1/4)', '(2y|0,1/2,1/4)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|1/2,0,1/4)'", "(4z-1|1/2,0,1/4)'", "(2x|1/2,0,1/4)'", "(2y|1/2,0,1/4)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
('BNS: 99.163 P4mm              ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 99.164 P4mm1'            ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|0,0,0)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 99.165 P4'm'm            ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', "(mx|0,0,0)'", "(my|0,0,0)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 99.166 P4'mm'            ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 99.167 P4m'm'            ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 99.168 P_c4mm            ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 99.169 P_C4mm            ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 99.170 P_I4mm            ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 100.171 P4bm             ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 100.172 P4bm1'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|0,0,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 100.173 P4'b'm           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 100.174 P4'bm'           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 100.175 P4b'm'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 100.176 P_c4bm           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 100.177 P_C4bm           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 100.178 P_I4bm           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mxy|1/2,1/2,0)', '(m-xy|1/2,1/2,0)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 101.179 P4_2cm           ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 101.180 P4_2cm1'         ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 101.181 P4_2'c'm         ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2z|0,0,0)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 101.182 P4_2'cm'         ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 101.183 P4_2c'm'         ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 101.184 P_c4_2cm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 101.185 P_C4_2cm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 101.186 P_I4_2cm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 102.187 P4_2nm           ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 102.188 P4_2nm1'         ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2z|0,0,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 102.189 P4_2'n'm         ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2z|0,0,0)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 102.190 P4_2'nm'         ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 102.191 P4_2n'm'         ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 102.192 P_c4_2nm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|0,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 102.193 P_C4_2nm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|1/2,1/2,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 102.194 P_I4_2nm         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|1/2,1/2,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 103.195 P4cc             ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 103.196 P4cc1'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|0,0,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 103.197 P4'c'c           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 103.198 P4'cc'           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 103.199 P4c'c'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 103.200 P_c4cc           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 103.201 P_C4cc           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 103.202 P_I4cc           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 104.203 P4nc             ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 104.204 P4nc1'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2z|0,0,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 104.205 P4'n'c           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 104.206 P4'nc'           ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 104.207 P4n'c'           ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 104.208 P_c4nc           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 104.209 P_C4nc           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
